Unnamed: 0,id,name,description,series,price,builtInEmote,copyrightedAudio,upcoming,reactive,releaseDate,lastAppearance,interest,video,audio,path,gameplayTags,apiTags,battlepass,type.id,type.name,rarity.id,rarity.name,added.date,added.version,images.icon,images.featured,images.background,images.icon_background,images.full_background,juno.icon,beans.icon,set.id,set.name,set.partOf,battlepass.season,battlepass.tier,battlepass.page,battlepass.type,battlepass.displayText.chapter,battlepass.displayText.season,battlepass.displayText.chapterSeason,battlepass.battlePassName,set,series.id,series.name,builtInEmote.id,builtInEmote.type.id,builtInEmote.type.name,builtInEmote.name,builtInEmote.description,builtInEmote.rarity.id,builtInEmote.rarity.name,builtInEmote.series,builtInEmote.images.icon,builtInEmote.images.featured,builtInEmote.images.background,builtInEmote.images.icon_background,builtInEmote.images.full_background,builtInEmote.video,builtInEmote.series.id,builtInEmote.series.name,display_assets_url
0,CID_267_Athena_Commando_M_RobotRed,A.I.M.,Scanning area for targets...,,0,,False,False,False,,,0.0,,,/Game/Athena/Items/Cosmetics/Characters/CID_267_Athena_Commando_M_RobotRed,"['Cosmetics.Source.Season6.BattlePass.Paid', 'Cosmetics.Set.RobotRed', 'Cosmetics.Filter.Season.6', 'SoundLibrary.ID.StepType.BootsMetal', 'SoundLibrary.ID.ClothingType.Robot', 'SoundLibrary.ID.HandType.Robot', 'Cosmetics.FrontEndPose.DontCrossArms']",[],,outfit,Outfit,Legendary,LEGENDARY,2018-09-27,1.6.0,https://media.fortniteapi.io/images/552cd39-3307b68-2aef1e3-414c094/transparent.png,,https://media.fortniteapi.io/images/cosmetics/552cd39-3307b68-2aef1e3-414c094/v2/background.png,https://media.fortniteapi.io/images/cosmetics/552cd39-3307b68-2aef1e3-414c094/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/552cd39-3307b68-2aef1e3-414c094/v2/info.en.png,https://media.fortniteapi.io/images/icons/juno/cid_267_athena_commando_m_robotred.png,https://media.fortniteapi.io/images/icons/beans/cid_267_athena_commando_m_robotred.png,RobotRed,A.I.M.,Part of the A.I.M. set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CID_249_Athena_Commando_F_BlackWidow,Arachne,Weave a web to victory.,,2000,,False,False,False,2018-10-21,2025-03-25,0.0,,,/BRCosmetics/Athena/Items/Cosmetics/Characters/CID_249_Athena_Commando_F_BlackWidow,"['Cosmetics.Source.ItemShop', 'Cosmetics.Set.BlackWidow', 'Cosmetics.Filter.Season.6', 'SoundLibrary.ID.StepType.BootsMetal', 'SoundLibrary.ID.ClothingType.Generic', 'SoundLibrary.ID.HandType.Glove']",[],,outfit,Outfit,Legendary,LEGENDARY,2018-09-27,1.6.0,https://media.fortniteapi.io/images/c0884dc-59055fb-e536e6d-0364dfa/transparent.png,,https://media.fortniteapi.io/images/cosmetics/c0884dc-59055fb-e536e6d-0364dfa/v2/background.png,https://media.fortniteapi.io/images/cosmetics/c0884dc-59055fb-e536e6d-0364dfa/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/c0884dc-59055fb-e536e6d-0364dfa/v2/info.en.png,https://media.fortniteapi.io/images/icons/juno/cid_249_athena_commando_f_blackwidow.png,https://media.fortniteapi.io/images/icons/beans/cid_249_athena_commando_f_blackwidow.png,BlackWidow,Arachnid,Part of the Arachnid set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://media.fortniteapi.io/images/displayAssets/v2/MAX/DAv2_CID_249_F_BlackWidow/MI_0.png
2,CID_300_Athena_Commando_F_Angel,Ark,Upholding the principles of righteous victory.,,2000,,False,False,False,2019-01-11,2025-04-13,0.0,,,/BRCosmetics/Athena/Items/Cosmetics/Characters/CID_300_Athena_Commando_F_Angel,"['Cosmetics.Source.ItemShop', 'Cosmetics.Set.EternalStruggle', 'Cosmetics.Filter.Season.7', 'SoundLibrary.ID.StepType.BootsMetal', 'SoundLibrary.ID.ClothingType.Generic', 'SoundLibrary.ID.HandType.Bare']",[],,outfit,Outfit,Legendary,LEGENDARY,2018-12-06,1.6.0,https://media.fortniteapi.io/images/f3b50ea-abe55f3-afe5376-d409e3c/transparent.png,,https://media.fortniteapi.io/images/cosmetics/f3b50ea-abe55f3-afe5376-d409e3c/v2/background.png,https://media.fortniteapi.io/images/cosmetics/f3b50ea-abe55f3-afe5376-d409e3c/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/f3b50ea-abe55f3-afe5376-d409e3c/v2/info.en.png,https://media.fortniteapi.io/images/icons/juno/cid_300_athena_commando_f_angel.png,https://media.fortniteapi.io/images/icons/beans/cid_300_athena_commando_f_angel.png,EternalStruggle,Eternal Struggle,Part of the Eternal Struggle set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://media.fortniteapi.io/images/displayAssets/v2/MAX/DAv2_CID_300_F_Angel/MI_0.png
3,CID_100_Athena_Commando_M_CuChulainn,Battle Hound,Release the hound!,,2000,,False,False,False,2018-03-18,2025-04-08,0.0,,,/BRCosmetics/Athena/Items/Cosmetics/Characters/CID_100_Athena_Commando_M_CuChulainn,"['Cosmetics.Source.ItemShop', 'Cosmetics.Set.Laoch', 'Cosmetics.Filter.Season.3', 'SoundLibrary.ID.StepType.BootsCombat', 'SoundLibrary.ID.ClothingType.ArmorMetal', 'SoundLibrary.ID.HandType.Glove']",[],,outfit,Outfit,Legendary,LEGENDARY,2018-02-22,1.6.0,https://media.fortniteapi.io/images/7e44eaf-733bec2-6608bc9-0d95834/transparent.png,,https://media.fortniteapi.io/images/cosmetics/7e44eaf-733bec2-6608bc9-0d95834/v2/background.png,https://media.fortniteapi.io/images/cosmetics/7e44eaf-733bec2-6608bc9-0d95834/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/7e44eaf-733bec2-6608bc9-0d95834/v2/info.en.png,https://media.fortniteapi.io/images/icons/juno/cid_100_athena_commando_m_cuchulainn.png,https://media.fortniteapi.io/images/icons/beans/cid_100_athena_commando_m_cuchulainn.png,Laoch,Laoch,Part of the Laoch set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://media.fortniteapi.io/images/displayAssets/v2/MAX/DAv2_CID_100_M_Cuchulainn/MI_0.png
4,CID_035_Athena_Commando_M_Medieval,Black Knight,The odious scourge of Wailing Woods.,,0,,False,False,False,,,0.02,,,/BRCosmetics/Athena/Items/Cosmetics/Characters/CID_035_Athena_Commando_M_Medieval,"['Cosmetics.Source.Season2.BattlePass.Paid', 'Cosmetics.Set.FortKnights', 'Cosmetics.Filter.Season.2', 'SoundLibrary.ID.StepType.BootsCombat', 'SoundLibrary.ID.ClothingType.ArmorMetal', 'SoundLibrary.ID.HandType.Glove']",[],,outfit,Outfit,Legendary,LEGENDARY,2017-12-14,1.6.0,https://media.fortniteapi.io/images/59eb4f6-e81c036-42fab23-375205c/transparent.png,,https://media.fortniteapi.io/images/cosmetics/59eb4f6-e81c036-42fab23-375205c/v2/background.png,https://media.fortniteapi.io/images/cosmetics/59eb4f6-e81c036-42fab23-375205c/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/59eb4f6-e81c036-42fab23-375205c/v2/info.en.png,,,FortKnights,Fort Knights,Part of the Fort Knights set.,2.0,70.0,,paid,Chapter 1,Season 2,Chapter 1 - Season 2,Battle Pass,,,,,,,,,,,,,,,,,,,,
5,CID_347_Athena_Commando_M_PirateProgressive,Blackheart,The dreaded captain of the stormy seas.,,0,,False,False,False,,,0.01,,,/BRCosmetics/Athena/Items/Cosmetics/Characters/CID_347_Athena_Commando_M_PirateProgressive,"['Cosmetics.UserFacingFlags.HasUpgradeQuests', 'Cosmetics.Source.Season8.BattlePass.Paid', 'Cosmetics.Set.Pirate', 'Cosmetics.Filter.Season.8', 'SoundLibrary.ID.StepType.BootsCombat', 'SoundLibrary.ID.ClothingType.Generic', 'SoundLibrary.ID.HandType.Glove']",[],,outfit,Outfit,Legendary,LEGENDARY,2019-02-28,1.6.0,https://media.fortniteapi.io/images/de92b06-8bbfd0f-cae852b-b674681/transparent.png,,https://media.fortniteapi.io/images/cosmetics/de92b06-8bbfd0f-cae852b-b674681/v2/background.png,https://media.fortniteapi.io/images/cosmetics/de92b06-8bbfd0f-cae852b-b674681/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/de92b06-8bbfd0f-cae852b-b674681/v2/info.en.png,https://media.fortniteapi.io/images/icons/juno/cid_347_athena_commando_m_pirateprogressive.png,https://media.fortniteapi.io/images/icons/beans/cid_347_athena_commando_m_pirateprogressive.png,Pirate,Scallywags,Part of the Scallywags set.,8.0,1.0,,paid,Chapter 1,Season 8,Chapter 1 - Season 8,Battle Pass,,,,,,,,,,,,,,,,,,,,
6,CID_237_Athena_Commando_F_Cowgirl,Calamity,From ranch hand to righteous retribution.,,0,,False,False,False,,,0.04,,,/BRCosmetics/Athena/Items/Cosmetics/Characters/CID_237_Athena_Commando_F_Cowgirl,"['Cosmetics.Source.Season6.BattlePass.Paid', 'Cosmetics.Set.Cowgirl', 'Cosmetics.UserFacingFlags.HasUpgradeQuests', 'Cosmetics.Filter.Season.6', 'SoundLibrary.ID.StepType.ShoesDress', 'SoundLibrary.ID.ClothingType.Generic', 'SoundLibrary.ID.HandType.Bare']",[],,outfit,Outfit,Legendary,LEGENDARY,2018-09-27,1.6.0,https://media.fortniteapi.io/images/0d13fd9-4330b64-620dedb-bbd40b9/transparent.png,,https://media.fortniteapi.io/images/cosmetics/0d13fd9-4330b64-620dedb-bbd40b9/v2/background.png,https://media.fortniteapi.io/images/cosmetics/0d13fd9-4330b64-620dedb-bbd40b9/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/0d13fd9-4330b64-620dedb-bbd40b9/v2/info.en.png,https://media.fortniteapi.io/images/icons/juno/cid_237_athena_commando_f_cowgirl.png,https://media.fortniteapi.io/images/icons/beans/cid_237_athena_commando_f_cowgirl.png,Cowgirl,Western Wilds,Part of the Western Wilds set.,6.0,1.0,,paid,Chapter 1,Season 6,Chapter 1 - Season 6,Battle Pass,,,,,,,,,,,,,,,,,,,,
7,CID_115_Athena_Commando_M_CarbideBlue,Carbide,Heed the call to action.,,0,,False,False,False,,,0.01,,,/BRCosmetics/Athena/Items/Cosmetics/Characters/CID_115_Athena_Commando_M_CarbideBlue,"['Cosmetics.Set.Carbide', 'Cosmetics.Source.Season4.BattlePass.Paid', 'Cosmetics.Filter.Season.4', 'SoundLibrary.ID.StepType.BootsCombat', 'SoundLibrary.ID.ClothingType.Generic', 'SoundLibrary.ID.HandType.Glove']",[],,outfit,Outfit,Legendary,LEGENDARY,2018-05-01,1.6.0,https://media.fortniteapi.io/images/b0b91f7-919b8c4-fad9a5a-48861f5/transparent.png,,https://media.fortniteapi.io/images/cosmetics/b0b91f7-919b8c4-fad9a5a-48861f5/v2/background.png,https://media.fortniteapi.io/images/cosmetics/b0b91f7-919b8c4-fad9a5a-48861f5/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/b0b91f7-919b8c4-fad9a5a-48861f5/v2/info.en.png,https://media.fortniteapi.io/images/icons/juno/cid_115_athena_commando_m_carbideblue.png,https://media.fortniteapi.io/images/icons/beans/cid_115_athena_commando_m_carbideblue.png,Carbide,Carbide,Part of the Carbide set.,4.0,1.0,,paid,Chapter 1,Season 4,Chapter 1 - Season 4,Battle Pass,,,,,,,,,,,,,,,,,,,,
8,CID_168_Athena_Commando_M_Shark,Chomp Sr.,Take a bite out of victory.,,2000,,False,False,False,2018-07-22,2025-02-13,0.0,,,/BRCosmetics/Athena/Items/Cosmetics/Characters/CID_168_Athena_Commando_M_Shark,"['Cosmetics.Set.Shark', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.5', 'SoundLibrary.ID.StepType.BarefootHeavy', 'SoundLibrary.ID.ClothingType.Generic', 'SoundLibrary.ID.HandType.Bare', 'Cosmetics.FrontEndPose.DontCrossArms']",[],,outfit,Outfit,Legendary,LEGENDARY,2018-07-11,1.6.0,https://media.fortniteapi.io/images/405e5de-9fc16ea-85c24cd-d0c353f/transparent.png,,https://media.fortniteapi.io/images/cosmetics/405e5de-9fc16ea-85c24cd-d0c353f/v2/background.png,https://media.fortniteapi.io/images/cosmetics/405e5de-9fc16ea-85c24cd-d0c353f/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/405e5de-9fc16ea-85c24cd-d0c353f/v2/info.en.png,https://media.fortniteapi.io/images/icons/juno/cid_168_athena_commando_m_shark.png,https://media.fortniteapi.io/images/icons/beans/cid_168_athena_commando_m_shark.png,Shark,Chomp,Part of the Chomp set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://media.fortniteapi.io/images/displayAssets/v2/MAX/DAv2_CID_168_M_Shark/MI_0.png
9,CID_050_Athena_Commando_M_HolidayNutcracker,Crackshot,Get out there and... crack some nuts.,,2000,,False,False,False,2017-12-24,2024-12-19,0.0,,,/BRCosmetics/Athena/Items/Cosmetics/Characters/CID_050_Athena_Commando_M_HolidayNutcracker,"['Cosmetics.Source.ItemShop', 'Cosmetics.Set.Nutcracker', 'Cosmetics.Filter.Season.1', 'Cosmetics.UserFacingFlags.HasVariants', 'SoundLibrary.ID.StepType.BootsCombat', 'SoundLibrary.ID.HandType.Glove', 'SoundLibrary.ID.ClothingType.GearTactical']",[],,outfit,Outfit,Legendary,LEGENDARY,2017-10-24,1.6.0,https://media.fortniteapi.io/images/e7de829-056f91d-4744fc8-5009f62/transparent.png,,https://media.fortniteapi.io/images/cosmetics/e7de829-056f91d-4744fc8-5009f62/v2/background.png,https://media.fortniteapi.io/images/cosmetics/e7de829-056f91d-4744fc8-5009f62/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/e7de829-056f91d-4744fc8-5009f62/v2/info.en.png,https://media.fortniteapi.io/images/icons/juno/cid_050_athena_commando_m_holidaynutcracker.png,https://media.fortniteapi.io/images/icons/beans/cid_050_athena_commando_m_holidaynutcracker.png,Nutcracker,Nutcracker,Part of the Nutcracker set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://media.fortniteapi.io/images/displayAssets/v2/MAX/DAv2_CID_050_M_HolidayNutcracker/MI_0.png
