,id,name,description,series,price,builtInEmote,copyrightedAudio,upcoming,reactive,releaseDate,lastAppearance,interest,video,audio,path,gameplayTags,apiTags,battlepass,type.id,type.name,rarity.id,rarity.name,added.date,added.version,images.icon,images.featured,images.background,images.icon_background,images.full_background,juno.icon,beans.icon,set.id,set.name,set.partOf,battlepass.season,battlepass.tier,battlepass.page,battlepass.type,battlepass.displayText.chapter,battlepass.displayText.season,battlepass.displayText.chapterSeason,battlepass.battlePassName,set,series.id,series.name,builtInEmote.id,builtInEmote.type.id,builtInEmote.type.name,builtInEmote.name,builtInEmote.description,builtInEmote.rarity.id,builtInEmote.rarity.name,builtInEmote.series,builtInEmote.images.icon,builtInEmote.images.featured,builtInEmote.images.background,builtInEmote.images.icon_background,builtInEmote.images.full_background,builtInEmote.video,builtInEmote.series.id,builtInEmote.series.name
257,EID_BoogieDown,Boogie Down,Boogie Down with Populotus.,,0,,False,False,False,,,3.07,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_BoogieDown,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Filter.Season.4', 'Emote.Mech.Disabled.Design']","['emoteDuration:4.40', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-05-01,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,EID_HipHopS5,Breakdown,Break it down.,,0,,False,False,False,,,0.04,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_HipHopS5,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.Season5.BattlePass.Paid', 'Cosmetics.Filter.Season.5', 'Emote.Mech.Disabled.Design']","['emoteDuration:7.27', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-07-11,4.5-CU,https://media.fortniteapi.io/images/d9e9d59-b01aa1e-b4860fb-5a41d81/transparent.png,,https://media.fortniteapi.io/images/cosmetics/d9e9d59-b01aa1e-b4860fb-5a41d81/v2/background.png,https://media.fortniteapi.io/images/cosmetics/d9e9d59-b01aa1e-b4860fb-5a41d81/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/d9e9d59-b01aa1e-b4860fb-5a41d81/v2/info.en.png,,,,,,5.0,95.0,,paid,Chapter 1,Season 5,Chapter 1 - Season 5,Battle Pass,,,,,,,,,,,,,,,,,,,
259,EID_BreakDance,Breakin',Bust a move!,,800,,False,False,False,2018-02-24,2025-06-11,0.05,,,/Game/Athena/Items/Cosmetics/Dances/EID_BreakDance,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.3', 'Emote.Mech.Disabled.Design']",['emoteDuration:8.36'],,emote,Emote,Epic,Epic,2018-02-22,3.0.0,https://media.fortniteapi.io/images/ee1107b-aeecb8b-a57f108-d0d2849/transparent.png,https://media.fortniteapi.io/images/ee1107b-aeecb8b-a57f108-d0d2849/full_featured.png,https://media.fortniteapi.io/images/cosmetics/ee1107b-aeecb8b-a57f108-d0d2849/v2/background.png,https://media.fortniteapi.io/images/cosmetics/ee1107b-aeecb8b-a57f108-d0d2849/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/ee1107b-aeecb8b-a57f108-d0d2849/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,EID_Cheerleading,Cheer Up,Be aggressive. B-E aggressive.,,800,,False,False,False,2019-02-03,2025-08-18,0.0,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_Cheerleading,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.7']","['emoteDuration:12.67', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-12-06,7.00,https://media.fortniteapi.io/images/c1d1255-1e7ff5b-0f08b6a-4032d59/transparent.png,https://media.fortniteapi.io/images/c1d1255-1e7ff5b-0f08b6a-4032d59/full_featured.png,https://media.fortniteapi.io/images/cosmetics/c1d1255-1e7ff5b-0f08b6a-4032d59/v2/background.png,https://media.fortniteapi.io/images/cosmetics/c1d1255-1e7ff5b-0f08b6a-4032d59/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/c1d1255-1e7ff5b-0f08b6a-4032d59/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,EID_CrackshotDance,Crackdown,Go nuts.,,800,,False,False,False,2018-12-21,2024-12-19,0.03,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_CrackshotDance,"['Cosmetics.Set.Nutcracker', 'Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.7']","['emoteDuration:6.67', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-12-06,7.00,https://media.fortniteapi.io/images/ceab604-62dbd60-0cc4d05-b877c5b/transparent.png,https://media.fortniteapi.io/images/ceab604-62dbd60-0cc4d05-b877c5b/full_featured.png,https://media.fortniteapi.io/images/cosmetics/ceab604-62dbd60-0cc4d05-b877c5b/v2/background.png,https://media.fortniteapi.io/images/cosmetics/ceab604-62dbd60-0cc4d05-b877c5b/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/ceab604-62dbd60-0cc4d05-b877c5b/v2/info.en.png,,,Nutcracker,Nutcracker,Part of the Nutcracker set.,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,EID_Warehouse,Dance Therapy,Let it all out.,,800,,False,False,False,2018-08-30,2025-06-08,0.04,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_Warehouse,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.5']","['emoteDuration:8.67', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-07-11,4.5-CU,https://media.fortniteapi.io/images/b28cb22-3fb1d68-1ed5467-d131ce5/transparent.png,https://media.fortniteapi.io/images/b28cb22-3fb1d68-1ed5467-d131ce5/full_featured.png,https://media.fortniteapi.io/images/cosmetics/b28cb22-3fb1d68-1ed5467-d131ce5/v2/background.png,https://media.fortniteapi.io/images/cosmetics/b28cb22-3fb1d68-1ed5467-d131ce5/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/b28cb22-3fb1d68-1ed5467-d131ce5/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,EID_HiLowWave,Daydream,Dance the day away.,,800,,False,False,False,2019-02-14,2025-06-24,0.03,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_HiLowWave,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.7']","['emoteDuration:9.60', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-12-06,7.00,https://media.fortniteapi.io/images/9a6badf-a08665e-a9860c4-3492334/transparent.png,https://media.fortniteapi.io/images/9a6badf-a08665e-a9860c4-3492334/full_featured.png,https://media.fortniteapi.io/images/cosmetics/9a6badf-a08665e-a9860c4-3492334/v2/background.png,https://media.fortniteapi.io/images/cosmetics/9a6badf-a08665e-a9860c4-3492334/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/9a6badf-a08665e-a9860c4-3492334/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,EID_DiscoFever,Disco Fever,Heat up the dance floor.,,800,,False,False,False,2018-03-31,2025-09-23,0.08,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_DiscoFever,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Set.FortniteFever', 'Cosmetics.Filter.Season.3']","['emoteDuration:8.97', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-02-22,3.0.0,https://media.fortniteapi.io/images/22048fb-c7edc4e-5014ce1-ddf0e22/transparent.png,https://media.fortniteapi.io/images/22048fb-c7edc4e-5014ce1-ddf0e22/full_featured.png,https://media.fortniteapi.io/images/cosmetics/22048fb-c7edc4e-5014ce1-ddf0e22/v2/background.png,https://media.fortniteapi.io/images/cosmetics/22048fb-c7edc4e-5014ce1-ddf0e22/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/22048fb-c7edc4e-5014ce1-ddf0e22/v2/info.en.png,,,FortniteFever,Fortnite Fever,Part of the Fortnite Fever set.,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,EID_DJ01,Drop The Bass,Wait for it...,,800,,False,False,False,2018-10-08,2025-11-28,0.03,,,/Game/Athena/Items/Cosmetics/Dances/EID_DJ01,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.6', 'Cosmetics.Set.FortniteDJ']","['emoteDuration:22.57', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-09-27,6.0,https://media.fortniteapi.io/images/b02b055-56e719f-4dd1cda-2b0ed40/transparent.png,https://media.fortniteapi.io/images/b02b055-56e719f-4dd1cda-2b0ed40/full_featured.png,https://media.fortniteapi.io/images/cosmetics/b02b055-56e719f-4dd1cda-2b0ed40/v2/background.png,https://media.fortniteapi.io/images/cosmetics/b02b055-56e719f-4dd1cda-2b0ed40/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/b02b055-56e719f-4dd1cda-2b0ed40/v2/info.en.png,,,FortniteDJ,Twin Turntables,Part of the Twin Turntables set.,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,EID_ElectroShuffle,Electro Shuffle,Express yourself on the battlefield.,,800,,False,False,False,2017-12-14,2025-12-13,0.16,,,/Game/Athena/Items/Cosmetics/Dances/EID_ElectroShuffle,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.1']","['emoteDuration:8.43', 'emoteLoop']",,emote,Emote,Epic,Epic,2017-10-24,1.7.2,https://media.fortniteapi.io/images/53ce0ce-c6b4989-21c603d-684591f/transparent.png,https://media.fortniteapi.io/images/53ce0ce-c6b4989-21c603d-684591f/full_featured.png,https://media.fortniteapi.io/images/cosmetics/53ce0ce-c6b4989-21c603d-684591f/v2/background.png,https://media.fortniteapi.io/images/cosmetics/53ce0ce-c6b4989-21c603d-684591f/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/53ce0ce-c6b4989-21c603d-684591f/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
